GeneName,0a,0b,2a,2b,8a,8b,16a,16b
Vrk3,26447.22983,24454.0805,22961.52333,22921.53167,29552.46783,29282.075,23540.71532,23389.05813
Wdr59,6789.177,6329.119,9160.305,9638.476,11340.704,11057,10912.0445,10146.5894
Xrcc4,13231.158,13858.004,15327.356,15306.264,14587.207,14473.0335,17175.9307,17432.67955
Ybx1,32079.94122,30727.2187,34263.23667,38865.41508,70198.18283,65946.135,129791.3662,131823.0298
Zc3hc1,9090.28345,8945.092,13159.52635,13575.6981,12165.0924,11368.83965,12367.60407,12167.62162
Aim1,10490.966,10900.859,14501.529,16172.06267,11724.6945,11478.582,9453.62965,9346.780967
Anp32a,84265.92,54476.03,156215.8,143815.1,85342.462,92684.54,27229.3661,23830.3136
Arhgap1,21822.0135,21753.63367,26923.15283,25960.67267,18861.008,18732.793,13246.01983,12661.6393
Arid2,12289.3078,12514.1052,16034.1436,15915.453,10865.6332,10627.1724,9270.38396,9241.7965
Arid4a,73453.96211,74189.14128,66387.62772,71756.59078,64686.59161,67184.65683,52799.35764,53532.69744
Arl6ip6,24554.1025,23152.791,48178.56,52083.09,31133.4075,30740.284,25414.43755,25317.21835
Asic4,24705.22,28740.17,41059.34,45605.41,33175.929,31374.18,21710.494,21724.7484
