GeneName,0h.a,0h.b,2h.a,2h.b,8h.a,8h.b,16h.a,16h.b
Reep3,15.67610789,15.75280387,15.78695143,15.75280387,15.86806896,15.99363671,15.627957,15.52887838
Gps1,13.74514343,13.73244951,14.14439961,14.39558827,13.03953838,13.11667804,12.61039653,12.83452083
Csnk1e,13.5456387,13.53554699,14.08732905,13.94318919,13.58172477,13.57984701,13.45760313,13.49823149
Gpsm3,13.11540127,13.10747408,13.60052255,13.26946038,13.10515342,13.12961661,12.74628322,12.63442888
Sgk223,14.07862306,14.03830534,14.14072377,13.97846218,13.86086615,13.89145787,13.64379787,13.63546307
Gphn,14.7021363,14.75513988,14.6130817,14.5157639,14.51798825,14.59713113,14.34990212,14.3054039
Tet2,14.50729356,14.49209166,15.02559867,14.8597987,14.63768431,14.53805422,14.46974514,14.41395045
Hnrnpf,14.66536378,14.56197835,15.35074624,15.32734862,15.29893229,15.15473816,14.80113576,14.78128748
Rps5,14.23309189,14.3462393,14.5157639,14.46602143,14.18368624,14.06200142,14.03347127,13.91868985
E2f6,13.15288364,13.25278375,13.78780655,13.50372796,12.64008825,12.77664281,12.39218883,12.32423454
Asic4,12.56025528,12.68520398,13.72166665,13.8305877,13.88936248,13.62387324,13.10747408,13.17592669
Btrc,14.41217759,14.55710759,14.36616453,14.16775268,14.18911319,14.33123134,14.2514073,14.08645798
Gpatch4,13.93178967,13.36718824,14.78832366,14.78511246,14.36616453,14.30935132,13.4606053,13.65816392
Pfkl,13.1726738,13.27489068,13.81798028,13.86984023,13.74011723,13.47267583,13.11540127,13.20296957
RBM8,14.38607621,14.54758441,14.7452274,14.58277327,14.54486038,14.63279782,14.20541087,14.18583149
Topbp1,12.58346163,12.4287505,12.79171716,12.85687857,12.12706283,12.19292702,12.04093769,11.54337357
Zyx,16.4172425,16.25205715,16.47459477,16.25205715,15.99722514,16.10423269,15.67316464,15.72006574
R3hdm1,15.07787137,15.12713109,15.22346009,15.05635884,14.93286239,14.95824048,14.77101304,14.80113576
Slc7a6,13.23217944,12.92577689,14.02783115,13.96851775,13.81636964,13.55558454,12.99340822,13.06134957
Mapk6,13.66758952,13.58362213,13.79099488,14.05907713,13.85051604,13.82848041,13.56834366,13.56634623
Hivep3,15.6460004,15.5540887,15.28175797,15.49207038,15.37107065,15.44910623,15.16486883,15.10008884
Rab40b,15.01057396,15.08195423,15.75648423,15.50393272,15.08195423,15.0448886,14.84646498,14.87863385
Aim1,13.28365718,13.37607995,14.14799058,13.92799153,14.21092435,14.18911319,13.63546307,13.66259425
Pphln1,15.76975006,15.63885146,15.76519645,15.63885146,15.26044105,15.33069748,14.81009325,14.814246
Itgav,13.86158546,13.94655011,14.05081562,13.92069497,13.94236156,13.87853061,14.05471398,14.02137455
Pim1,11.44099895,11.59934215,13.17725915,13.27754352,12.00384471,11.93416655,11.85798834,11.83511663
Uck2,12.47722206,12.73447297,13.42194533,13.18245742,12.85687857,12.71780856,12.53972515,12.36024851
Runx1,15.24549623,15.33566233,15.562899,15.59502153,15.5540887,15.49207038,15.36778105,15.30572195
Topors,12.83452083,13.02842345,13.06846526,13.23100034,12.80511623,12.8126264,12.6763281,12.61353981
Fam129a,12.82892759,12.89915939,13.26946038,13.12230854,12.28693807,12.17507193,11.71575363,11.82496798
Tex2,12.57198962,12.48733382,13.65510919,13.30385731,12.3953804,12.13540563,12.34016043,12.32844828
Ddx20,13.43795619,13.52617885,14.35402592,14.51217635,14.55826566,14.30864905,14.0043954,14.17101221
Plxnb2,14.83908267,14.89026071,14.82431684,14.67851463,14.61155089,14.66883588,14.53218492,14.50939667
Luc7l3,13.87148394,13.74011723,13.98777151,13.90292398,13.80525204,13.92393574,13.63780075,13.58500014
Nfya,14.26653073,14.23062953,14.56944402,14.36999155,14.22884581,14.19609716,14.07862306,14.02367105
Pak1,15.66105453,15.67610789,15.70947526,15.45195456,15.46021388,15.48573385,15.40986707,15.43718154
Ei24,12.8519752,12.71297715,13.70148931,13.93553331,13.26817256,13.19824739,12.43194227,12.76216418
Ints6,14.94756003,14.91604509,14.90458142,14.61719965,14.57547417,14.67753784,14.62249141,14.56373
Cenpa,13.78470661,13.80401742,13.67122293,13.75032954,13.51047287,13.60313457,13.57864827,13.57534941
Upf1,13.15699841,13.10177932,13.21885765,13.27577999,13.20296957,13.15103443,13.06704276,12.93160738
Foxj3,15.55642629,15.55934135,15.38117239,15.44910623,15.39570291,15.39410121,15.43718154,15.42678322
Phlpp2,15.73071359,15.94077329,15.95397935,15.74187809,15.74187809,15.73885849,15.441282,15.51731738
Dnajc2,16.05193371,15.9115362,15.63885146,16.15089731,15.2965543,15.35318116,15.51611548,15.72922784
Prkar1a,15.57026141,15.67141159,15.76975006,15.51477391,15.44910623,15.34690683,15.2218714,15.17624969
Limd1,12.93684033,12.83030624,13.27489068,13.51488814,13.4249862,13.12718423,12.29366563,12.54083075
Otud5,12.36024851,12.9780458,13.26817256,13.49325179,11.61265985,11.6227025,11.6227025,11.88005689
Tab2,13.18359268,13.191123,13.86367525,13.61951699,13.55342127,13.54870762,12.97134332,13.0577052
Cnot3,14.55432745,14.54255173,15.2673399,15.12580894,14.64609019,14.53485212,14.17234984,14.19546738
Jun,12.65064524,12.6437858,13.28467393,13.02698774,12.90665783,12.83452083,12.63916961,12.69353011
Pacs2,12.27919661,11.97743675,13.28816781,13.29768202,12.70694201,12.41746705,12.23360456,12.27023733
Gpr171,14.53345014,14.56296316,15.74187809,15.67610789,15.81022961,15.6409996,15.25110962,15.07411592
Ddx10,15.16858797,15.30919889,16.99104944,16.66330043,16.57300531,16.54276661,15.81910316,15.96875743
Znf639,13.80686659,13.94511957,14.04706787,13.92023118,13.93178967,13.90666795,14.01096351,13.89504593
Spn,16.15089731,16.10016406,16.3962644,16.53237102,16.23190141,16.26493179,15.99363671,15.98476254
Arrb1,16.40034877,16.46214904,16.32487963,16.25546194,16.06966766,16.12005112,16.00359506,15.99363671
Cbx3,14.50117493,14.78255443,15.18688274,15.07626818,14.91141564,14.78832366,14.68902833,14.80960365
Rbbp5,15.42178013,15.46021388,15.47179906,15.34334757,14.97020953,15.05635884,14.76364923,14.80265872
Pi4kb,14.16884397,14.0043954,15.31536334,15.07237134,14.76364923,14.39647014,14.347524,14.40009767
Cep152,14.1331407,14.11603353,14.10834945,14.07535265,13.85663705,13.92100063,13.71732267,13.70930594
