GeneName,0h.a,0h.b,2h.a,2h.b,8h.a,8h.b,16h.a,16h.b
Eif4b,5.2E+03,4.7E+03,2.3E+04,2.3E+04,2.2E+04,2.0E+04,1.8E+04,2.2E+04
Eif4b,1.2E+04,1.2E+04,1.9E+04,1.8E+04,1.9E+04,1.9E+04,2.0E+04,1.9E+04
Eif4b,3.8E+03,4.4E+03,1.1E+04,1.1E+04,1.7E+04,1.6E+04,1.5E+04,1.6E+04
Eif4b,8.5E+03,8.2E+03,2.6E+04,2.3E+04,3.1E+04,2.8E+04,3.2E+04,3.6E+04
Eif4b,1.3E+04,1.3E+04,1.9E+04,1.9E+04,2.0E+04,1.9E+04,2.4E+04,2.7E+04
Eif4b,9.2E+04,9.4E+04,2.1E+05,1.7E+05,2.2E+05,2.1E+05,2.5E+05,2.5E+05
Eif4b,3.8E+04,3.7E+04,6.3E+04,5.9E+04,8.2E+04,7.4E+04,7.4E+04,7.9E+04
Eif4enif1,4.1E+03,2.5E+03,6.3E+03,5.7E+03,7.6E+03,7.0E+03,7.8E+03,8.6E+03
Eif4g1,1.7E+03,1.7E+03,5.3E+03,3.6E+03,6.5E+03,7.0E+03,6.1E+03,7.1E+03
Eif4g1,1.6E+04,1.6E+04,2.3E+04,2.1E+04,2.5E+04,2.3E+04,2.5E+04,2.4E+04
Emc4,2.9E+04,2.9E+04,4.5E+04,4.7E+04,4.9E+04,4.5E+04,3.8E+04,3.6E+04
Epb4,5.4E+03,5.0E+03,1.3E+04,1.4E+04,1.4E+04,1.4E+04,1.0E+04,1.3E+04
Exoc6,9.3E+03,1.0E+04,1.2E+04,1.3E+04,1.6E+04,1.4E+04,1.6E+04,1.6E+04
Fam193a,8.5E+03,8.9E+03,1.2E+04,1.2E+04,1.4E+04,1.3E+04,1.2E+04,1.2E+04
Fam195b,7.8E+03,8.1E+03,9.9E+03,1.2E+04,1.2E+04,1.2E+04,1.3E+04,1.2E+04
Fam195b,5.1E+03,5.8E+03,9.2E+03,7.7E+03,9.0E+03,8.9E+03,8.5E+03,9.7E+03
Fam195b,3.0E+04,3.0E+04,5.5E+04,4.3E+04,5.2E+04,5.0E+04,5.0E+04,5.3E+04
Gemin5,3.2E+03,2.6E+03,5.3E+03,5.0E+03,6.4E+03,6.1E+03,5.6E+03,6.8E+03
Gigyf1,7.7E+03,7.3E+03,9.8E+03,1.1E+04,1.2E+04,1.1E+04,1.0E+04,1.1E+04
Hectd2,7.3E+03,6.9E+03,1.1E+04,1.1E+04,1.4E+04,1.3E+04,1.3E+04,1.4E+04
Hirip3,1.1E+03,2.1E+03,4.5E+03,4.8E+03,4.0E+03,3.9E+03,5.7E+03,5.5E+03
Hnrnph1,2.3E+04,2.2E+04,4.7E+04,4.2E+04,5.3E+04,4.7E+04,3.8E+04,3.8E+04
Hook3,8.5E+03,7.6E+03,1.5E+04,1.2E+04,1.6E+04,1.4E+04,1.1E+04,1.1E+04
Hps5,2.1E+04,2.2E+04,3.7E+04,3.7E+04,3.4E+04,3.2E+04,3.1E+04,3.1E+04
Hspa4,4.8E+03,4.8E+03,7.1E+03,6.2E+03,7.0E+03,7.7E+03,6.5E+03,6.4E+03
Htt,7.1E+03,8.0E+03,1.3E+04,1.3E+04,1.5E+04,1.2E+04,1.1E+04,1.1E+04
Inpp5d,1.2E+04,1.2E+04,1.8E+04,2.1E+04,2.1E+04,2.1E+04,1.8E+04,1.7E+04
Inpp5f,2.6E+03,2.9E+03,3.7E+03,3.7E+03,3.7E+03,3.4E+03,4.4E+03,4.6E+03
Ints10,1.1E+04,1.3E+04,2.2E+04,1.9E+04,1.8E+04,1.8E+04,1.8E+04,2.0E+04
Ints10,6.9E+03,7.1E+03,1.6E+04,1.4E+04,1.3E+04,1.3E+04,1.2E+04,1.3E+04
Iqcj,1.5E+04,1.5E+04,2.3E+04,2.3E+04,2.5E+04,2.5E+04,2.5E+04,2.5E+04
Itgb1bp1,1.0E+04,1.0E+04,2.4E+04,2.3E+04,2.6E+04,1.9E+04,2.4E+04,2.5E+04
Itgb1bp1,4.8E+03,5.2E+03,1.6E+04,9.8E+03,2.0E+04,2.0E+04,1.7E+04,2.0E+04
Itgb1bp1,3.8E+03,3.7E+03,7.6E+03,7.7E+03,7.4E+03,5.8E+03,9.9E+03,9.5E+03
Kif13b,2.7E+03,3.1E+03,4.0E+03,3.8E+03,3.9E+03,3.8E+03,4.9E+03,5.1E+03
Kif1b,4.9E+03,5.7E+03,1.1E+04,9.0E+03,9.0E+03,9.9E+03,8.5E+03,9.2E+03
Lcp2,7.5E+03,7.9E+03,1.4E+04,1.3E+04,1.4E+04,1.3E+04,1.1E+04,1.1E+04
Lrrfip1,3.3E+03,3.3E+03,2.8E+04,2.4E+04,3.3E+04,2.6E+04,1.7E+04,1.7E+04
Lrrfip1,2.7E+04,2.6E+04,9.3E+04,8.6E+04,1.0E+05,9.1E+04,6.7E+04,7.0E+04
Maf1,1.2E+04,1.2E+04,2.2E+04,2.0E+04,2.8E+04,2.4E+04,2.4E+04,2.4E+04
Malt1,4.5E+03,5.0E+03,1.0E+04,8.7E+03,1.1E+04,1.1E+04,1.0E+04,1.1E+04
Map3k2,4.1E+03,4.0E+03,6.1E+03,6.6E+03,7.8E+03,6.7E+03,9.0E+03,8.4E+03
Map4k4,2.5E+03,1.5E+03,3.5E+03,3.8E+03,4.0E+03,3.4E+03,4.7E+03,5.3E+03
Mcl1,1.5E+03,1.7E+03,3.4E+03,3.7E+03,3.5E+03,4.5E+03,4.8E+03,4.4E+03
Mief1,5.5E+03,6.4E+03,1.1E+04,1.0E+04,1.2E+04,1.1E+04,1.1E+04,1.1E+04
Mief1,3.4E+04,3.8E+04,5.7E+04,5.1E+04,6.3E+04,6.3E+04,6.7E+04,6.7E+04
Mink1,4.5E+04,4.3E+04,6.2E+04,6.5E+04,6.9E+04,6.5E+04,6.7E+04,6.7E+04
Msn,3.4E+03,3.8E+03,5.2E+03,4.5E+03,5.1E+03,5.3E+03,6.4E+03,5.8E+03
NA,7.6E+03,7.4E+03,2.1E+04,1.9E+04,1.8E+04,1.5E+04,1.5E+04,1.5E+04
Nefh,2.1E+03,2.8E+03,9.0E+03,4.4E+03,1.0E+04,8.5E+03,1.2E+04,1.3E+04
Nefh,5.6E+03,8.0E+03,2.8E+04,2.1E+04,4.4E+04,4.0E+04,4.8E+04,5.2E+04
Nfkb2,6.9E+03,5.4E+03,1.3E+04,1.7E+04,2.1E+04,1.8E+04,1.6E+04,1.6E+04
Nop56,4.3E+03,4.0E+03,5.1E+03,6.2E+03,6.8E+03,6.2E+03,7.5E+03,7.1E+03
Nup35,5.6E+04,5.1E+04,9.8E+04,8.7E+04,1.1E+05,9.8E+04,8.8E+04,8.5E+04
Osbp,1.3E+04,1.4E+04,3.5E+04,3.0E+04,3.7E+04,3.4E+04,2.5E+04,2.1E+04
Pacsin1,1.7E+04,1.7E+04,5.8E+04,4.5E+04,6.7E+04,4.9E+04,3.3E+04,3.9E+04
Pacsin1,2.0E+04,1.8E+04,3.8E+04,3.2E+04,4.0E+04,3.3E+04,3.1E+04,3.2E+04
Pacsin1,2.8E+04,2.6E+04,5.6E+04,4.6E+04,5.8E+04,4.8E+04,4.3E+04,4.1E+04
Pak2,2.2E+04,2.3E+04,3.6E+04,3.4E+04,3.8E+04,3.5E+04,3.1E+04,3.1E+04
Pan2,7.7E+03,7.3E+03,3.0E+04,2.7E+04,2.4E+04,2.0E+04,1.9E+04,1.8E+04
Pan2,5.0E+03,4.0E+03,1.3E+04,1.2E+04,1.3E+04,1.1E+04,8.7E+03,1.0E+04
Parp14,2.6E+03,1.9E+03,4.3E+03,4.3E+03,4.1E+03,4.3E+03,4.8E+03,5.3E+03
Parvg,7.4E+03,6.9E+03,1.3E+04,1.1E+04,1.3E+04,1.3E+04,1.1E+04,1.2E+04
Pcm1,2.8E+03,3.0E+03,5.7E+03,5.2E+03,4.1E+03,3.8E+03,4.4E+03,5.0E+03
Pdap1,1.1E+04,1.1E+04,1.5E+04,1.5E+04,1.7E+04,1.7E+04,1.6E+04,1.8E+04
Pdlim5,4.5E+04,4.2E+04,7.7E+04,6.5E+04,7.9E+04,7.4E+04,6.4E+04,6.1E+04
Pfkl,1.3E+04,1.4E+04,2.9E+04,3.1E+04,2.2E+04,1.9E+04,2.2E+04,2.5E+04
Phactr4,3.0E+03,3.0E+03,9.2E+03,1.3E+04,1.0E+04,9.1E+03,7.3E+03,7.4E+03
Phrf1,4.9E+03,4.7E+03,8.2E+03,1.0E+04,1.4E+04,1.1E+04,1.2E+04,1.4E+04
Phtf2,8.3E+03,7.1E+03,1.0E+04,1.2E+04,1.0E+04,1.0E+04,1.3E+04,1.5E+04
Pi4ka,3.6E+03,3.1E+03,5.7E+03,5.1E+03,6.0E+03,5.6E+03,5.3E+03,5.5E+03
Pkn2,6.6E+03,7.2E+03,1.1E+04,1.2E+04,1.1E+04,1.1E+04,9.5E+03,1.0E+04
Pnisr,3.6E+03,3.4E+03,6.6E+03,5.8E+03,6.1E+03,5.3E+03,5.9E+03,5.4E+03
Pola2,1.1E+04,1.1E+04,1.9E+04,2.0E+04,2.0E+04,1.8E+04,1.9E+04,2.3E+04
Ppm1g,7.6E+03,5.4E+03,1.9E+04,1.6E+04,2.1E+04,1.9E+04,2.1E+04,2.2E+04
Ppm1g,4.2E+03,4.4E+03,1.0E+04,1.0E+04,1.1E+04,1.1E+04,1.1E+04,1.1E+04
Ppm1g,4.4E+03,4.1E+03,1.2E+04,1.1E+04,1.3E+04,1.2E+04,1.1E+04,1.1E+04
Ppm1g,1.2E+04,1.2E+04,8.5E+04,8.0E+04,7.3E+04,6.2E+04,4.5E+04,4.9E+04
Ppm1g,1.3E+04,1.1E+04,3.2E+04,3.3E+04,3.4E+04,2.9E+04,2.5E+04,2.5E+04
Ppm1g,5.8E+03,6.1E+03,1.5E+04,1.3E+04,1.4E+04,1.2E+04,1.1E+04,1.1E+04
Ppp1r12a,2.5E+04,2.2E+04,3.8E+04,3.8E+04,4.3E+04,4.1E+04,3.6E+04,4.0E+04
Ppp1r18,4.7E+03,4.8E+03,2.0E+04,1.8E+04,1.8E+04,1.6E+04,1.1E+04,1.3E+04
Ppp1r18,4.1E+04,4.2E+04,7.5E+04,7.8E+04,6.8E+04,6.4E+04,6.4E+04,6.6E+04
Ppp1r18,2.7E+04,3.0E+04,4.4E+04,4.5E+04,4.2E+04,3.6E+04,3.9E+04,3.9E+04
Ppp1r18,5.4E+04,4.6E+04,1.6E+05,1.5E+05,1.6E+05,1.4E+05,9.5E+04,1.0E+05
Prkca,1.5E+04,1.6E+04,2.4E+04,2.3E+04,2.3E+04,2.0E+04,3.0E+04,3.2E+04
Prkd2,2.4E+03,1.9E+03,4.5E+03,4.0E+03,4.7E+03,4.0E+03,3.5E+03,3.2E+03
Prkd3,1.2E+04,1.3E+04,2.3E+04,2.7E+04,2.6E+04,2.7E+04,2.1E+04,2.2E+04
Ptpn12,1.5E+04,1.6E+04,2.6E+04,2.5E+04,2.2E+04,2.0E+04,2.2E+04,2.1E+04
Ptpn12,5.5E+03,4.9E+03,1.1E+04,1.3E+04,1.4E+04,1.2E+04,1.2E+04,1.0E+04
Ptpn12,8.9E+03,9.7E+03,2.6E+04,2.0E+04,2.5E+04,2.2E+04,1.7E+04,1.7E+04
Pxn,2.7E+04,2.6E+04,4.3E+04,4.2E+04,3.6E+04,3.6E+04,3.7E+04,3.5E+04
Pxn,1.1E+04,1.1E+04,2.6E+04,2.4E+04,2.3E+04,2.1E+04,1.9E+04,2.0E+04
Pxn,1.0E+04,1.1E+04,1.7E+04,1.6E+04,1.7E+04,1.6E+04,1.5E+04,1.6E+04
Rabggta,1.0E+04,9.1E+03,2.6E+04,2.1E+04,3.5E+04,3.4E+04,3.0E+04,3.2E+04
Ranbp10,5.9E+03,6.6E+03,9.6E+03,9.0E+03,1.0E+04,9.3E+03,9.5E+03,1.0E+04
Ranbp2,3.8E+03,4.1E+03,7.2E+03,7.2E+03,7.4E+03,6.6E+03,8.1E+03,8.1E+03
Rapgef6,5.1E+03,4.3E+03,6.8E+03,7.6E+03,8.0E+03,7.7E+03,6.0E+03,7.0E+03
Rbbp4,2.6E+04,2.4E+04,3.6E+04,3.5E+04,3.9E+04,3.6E+04,3.3E+04,3.2E+04
Rbm3,4.3E+03,4.1E+03,7.4E+03,8.4E+03,8.6E+03,8.8E+03,7.3E+03,7.6E+03
Rgcc,1.0E+04,9.6E+03,2.2E+04,1.9E+04,2.1E+04,2.0E+04,1.6E+04,1.6E+04
Rictor,1.8E+03,2.0E+03,5.2E+03,4.7E+03,7.5E+03,7.1E+03,8.1E+03,6.0E+03
Rnf2,5.2E+03,5.8E+03,7.7E+03,7.8E+03,1.1E+04,8.8E+03,1.1E+04,1.0E+04
Rps6ka3,3.4E+04,3.6E+04,5.8E+04,6.0E+04,6.1E+04,6.0E+04,4.8E+04,5.2E+04
Rptor,3.4E+04,2.7E+04,4.8E+04,4.1E+04,4.9E+04,4.7E+04,4.7E+04,4.9E+04
Rptor,4.0E+04,3.6E+04,6.5E+04,5.1E+04,6.4E+04,6.6E+04,6.2E+04,6.2E+04
Rrp1,6.1E+02,3.5E+02,2.3E+03,3.4E+03,3.0E+03,2.8E+03,1.4E+03,2.0E+03
Rsf1,1.4E+04,1.2E+04,2.9E+04,2.8E+04,3.2E+04,2.6E+04,1.8E+04,2.2E+04
Safb2,3.3E+03,3.2E+03,4.8E+03,5.2E+03,4.8E+03,4.7E+03,4.9E+03,5.5E+03
Samhd1,1.5E+04,1.2E+04,1.9E+04,1.9E+04,1.8E+04,1.6E+04,2.1E+04,2.3E+04
Samsn1,1.8E+03,1.3E+03,2.9E+03,2.9E+03,4.4E+03,4.3E+03,4.9E+03,4.5E+03
Sec23ip,2.8E+04,2.6E+04,7.5E+04,7.8E+04,8.9E+04,8.2E+04,6.5E+04,7.0E+04
Sec31a,7.1E+03,6.0E+03,1.2E+04,1.5E+04,1.6E+04,1.4E+04,1.2E+04,1.2E+04
Setbp1,5.1E+03,4.7E+03,6.3E+03,6.6E+03,6.8E+03,6.9E+03,7.6E+03,7.1E+03
Setd7,5.0E+04,4.8E+04,7.7E+04,6.6E+04,6.8E+04,7.2E+04,8.5E+04,7.5E+04
Sgk223,2.7E+03,2.5E+03,6.1E+03,5.6E+03,7.5E+03,7.1E+03,5.2E+03,6.1E+03
Sgta,4.3E+03,4.5E+03,1.4E+04,1.1E+04,1.3E+04,1.3E+04,1.3E+04,1.4E+04
Sh3bp1,4.8E+04,4.6E+04,7.7E+04,9.1E+04,8.5E+04,8.2E+04,7.0E+04,7.0E+04
Slc12a7,3.7E+03,4.0E+03,6.3E+03,5.8E+03,5.7E+03,5.8E+03,6.7E+03,6.1E+03
Slc26a2,2.8E+03,2.7E+03,1.2E+04,1.1E+04,9.2E+03,9.3E+03,6.4E+03,8.0E+03
Slc39a6,7.0E+03,6.6E+03,1.4E+04,1.3E+04,1.9E+04,1.5E+04,1.5E+04,1.6E+04
Slmap,2.5E+03,2.0E+03,4.7E+03,5.7E+03,5.1E+03,4.7E+03,4.3E+03,3.8E+03
Slmap,3.0E+03,3.7E+03,8.3E+03,8.7E+03,9.1E+03,8.7E+03,7.7E+03,6.0E+03
Snapin,8.2E+03,9.0E+03,1.3E+04,1.4E+04,1.6E+04,1.5E+04,1.5E+04,1.4E+04
Snip1,2.4E+03,2.4E+03,3.5E+03,3.0E+03,4.3E+03,4.0E+03,4.0E+03,4.9E+03
Snrk,7.6E+03,7.6E+03,1.3E+04,1.2E+04,1.3E+04,1.2E+04,1.0E+04,1.1E+04
Snx17,2.1E+04,2.2E+04,4.7E+04,4.3E+04,6.1E+04,4.4E+04,6.6E+04,6.5E+04
Snx17,5.1E+03,5.5E+03,1.9E+04,2.1E+04,2.3E+04,1.6E+04,1.2E+04,1.4E+04
Snx17,3.0E+03,3.4E+03,5.0E+03,4.3E+03,5.1E+03,5.4E+03,5.3E+03,4.9E+03
Snx17,5.0E+03,5.5E+03,1.7E+04,2.0E+04,2.0E+04,1.5E+04,1.2E+04,1.2E+04
Snx17,1.1E+04,1.3E+04,2.8E+04,3.0E+04,3.3E+04,2.5E+04,2.5E+04,3.1E+04
Snx2,4.0E+03,4.0E+03,1.7E+04,1.3E+04,1.4E+04,1.3E+04,1.0E+04,1.1E+04
Snx2,1.6E+03,1.8E+03,1.2E+04,1.2E+04,1.3E+04,1.1E+04,6.4E+03,6.2E+03
Son,6.5E+03,6.2E+03,7.5E+03,9.1E+03,1.1E+04,9.8E+03,1.0E+04,1.2E+04
Spag7,8.1E+03,9.5E+03,1.5E+04,1.3E+04,1.2E+04,1.1E+04,1.4E+04,1.5E+04
Spata5,4.2E+03,3.9E+03,6.2E+03,7.9E+03,1.0E+04,9.2E+03,9.6E+03,1.1E+04
Srpk2,9.5E+03,1.0E+04,1.6E+04,1.4E+04,1.6E+04,1.7E+04,1.3E+04,1.3E+04
Srrm2,7.9E+03,6.7E+03,1.1E+04,9.7E+03,1.3E+04,1.2E+04,1.5E+04,1.5E+04
Srsf5,1.4E+04,9.8E+03,2.2E+04,2.0E+04,2.0E+04,2.0E+04,1.9E+04,2.1E+04
Srsf9,1.3E+04,1.2E+04,1.8E+04,1.5E+04,1.8E+04,1.8E+04,2.2E+04,2.1E+04
Stat6,1.3E+04,1.2E+04,8.3E+04,6.8E+04,5.7E+04,5.9E+04,5.9E+04,6.0E+04
Stim1,3.4E+03,3.5E+03,4.5E+03,4.5E+03,6.0E+03,5.1E+03,5.9E+03,5.4E+03
Stmn1,1.6E+04,1.3E+04,2.4E+04,2.1E+04,2.5E+04,2.4E+04,2.2E+04,2.0E+04
Tacc1,4.1E+03,3.8E+03,1.1E+04,1.2E+04,1.2E+04,1.0E+04,7.6E+03,8.8E+03
Tcf12,1.9E+04,1.9E+04,2.5E+04,2.2E+04,2.7E+04,2.5E+04,2.8E+04,3.0E+04
Tex2,3.5E+03,2.8E+03,1.9E+04,1.5E+04,1.7E+04,1.4E+04,1.1E+04,1.1E+04
Tln1,7.4E+04,7.7E+04,1.5E+05,1.5E+05,1.6E+05,1.4E+05,1.1E+05,1.1E+05
Tmem209,1.8E+04,1.6E+04,2.0E+04,2.1E+04,2.3E+04,2.4E+04,2.8E+04,2.5E+04
Tom1l2,7.2E+03,6.4E+03,1.1E+04,1.1E+04,1.3E+04,1.1E+04,9.9E+03,1.2E+04
Tpd52l2,3.7E+04,3.7E+04,6.6E+04,5.4E+04,6.0E+04,5.7E+04,7.6E+04,7.3E+04
Tpr,1.5E+04,1.6E+04,2.5E+04,2.4E+04,2.6E+04,2.3E+04,2.2E+04,2.0E+04
Trip12,3.6E+03,2.6E+03,1.1E+04,1.1E+04,1.2E+04,9.4E+03,7.2E+03,9.1E+03
Trmt44,6.9E+03,8.0E+03,1.7E+04,1.9E+04,1.8E+04,1.7E+04,1.6E+04,1.6E+04
Twistnb,6.6E+03,7.6E+03,1.3E+04,1.2E+04,1.2E+04,1.2E+04,1.0E+04,9.4E+03
Txlna,1.8E+03,1.9E+03,5.8E+03,4.9E+03,7.6E+03,6.5E+03,7.7E+03,9.1E+03
Txlna,8.1E+03,9.6E+03,2.5E+04,2.4E+04,4.3E+04,3.6E+04,5.0E+04,5.2E+04
Uba1,1.1E+04,1.2E+04,2.4E+04,1.9E+04,2.1E+04,1.9E+04,2.1E+04,2.0E+04
Ube2j1,1.4E+04,9.6E+03,1.9E+04,1.8E+04,2.1E+04,2.2E+04,2.2E+04,2.6E+04
Ube2o,1.1E+04,1.2E+04,2.0E+04,1.9E+04,2.2E+04,2.0E+04,2.5E+04,2.4E+04
Ube4b,4.0E+03,3.8E+03,6.5E+03,5.7E+03,4.9E+03,4.6E+03,5.9E+03,6.1E+03
Ubr4,7.2E+03,5.8E+03,2.0E+04,1.9E+04,2.4E+04,2.3E+04,1.7E+04,1.7E+04
Ubr4,6.7E+03,7.4E+03,2.0E+04,2.2E+04,2.8E+04,2.4E+04,2.0E+04,2.0E+04
Ubr4,7.0E+03,7.0E+03,9.9E+03,9.8E+03,1.2E+04,1.0E+04,1.2E+04,1.3E+04
Ulk1,2.2E+04,1.9E+04,2.9E+04,2.7E+04,3.2E+04,3.3E+04,3.2E+04,3.3E+04
Usp15,1.3E+04,1.5E+04,3.0E+04,2.7E+04,3.3E+04,3.1E+04,4.0E+04,3.8E+04
Usp15,4.3E+04,4.2E+04,7.5E+04,7.6E+04,6.8E+04,6.7E+04,7.6E+04,7.9E+04
Usp15,3.1E+04,3.0E+04,6.7E+04,6.4E+04,7.2E+04,6.6E+04,6.0E+04,6.3E+04
Usp4,9.3E+03,9.8E+03,1.9E+04,1.6E+04,2.2E+04,1.9E+04,1.8E+04,1.8E+04
Usp53,8.0E+03,8.1E+03,1.1E+04,1.3E+04,1.2E+04,1.4E+04,1.2E+04,1.2E+04
Utrn,1.0E+04,8.6E+03,2.1E+04,1.8E+04,2.5E+04,2.2E+04,1.7E+04,1.8E+04
